WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
131,Pemba,MZ,-12.974,40.5178,74.1,78,40,8.05,scattered clouds
132,Bosaso,SO,11.2842,49.1816,91.44,44,99,7.27,overcast clouds
133,Namibe,AO,-15.1961,12.1522,62.4,86,75,3.13,broken clouds
134,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,6.91,scattered clouds
135,Georgetown,MY,5.4112,100.3354,79.9,92,20,3.44,few clouds
136,Okhotsk,RU,59.3833,143.3,58.28,91,100,1.88,overcast clouds
137,Mount Isa,AU,-20.7333,139.5,56.97,44,0,10.36,clear sky
138,Ternate,ID,0.8,127.4,79.95,78,98,2.89,overcast clouds
139,Simpang,ID,-1.2667,104.0833,75.81,96,55,2.44,broken clouds
140,Bristol,US,41.8334,-71.1662,94.6,54,0,7.0,clear sky
141,Huarmey,PE,-10.0681,-78.1522,68.02,71,89,10.49,overcast clouds
142,Belyy Yar,RU,53.6039,91.3903,58.89,72,0,6.71,clear sky
143,Oyon,PE,-10.6681,-76.7731,57.38,32,13,14.16,few clouds
144,Paso De Carrasco,UY,-34.8603,-56.0522,59.45,67,0,8.05,clear sky
145,Tiarei,PF,-17.5333,-149.3333,77.02,70,11,5.53,few clouds
146,Hay River,CA,60.8156,-115.7999,67.98,56,100,12.66,overcast clouds
147,Porto Torres,IT,40.835,8.3972,91.58,67,0,9.26,clear sky
148,Beaupre,CA,47.0443,-70.8953,84.34,54,2,8.05,clear sky
149,Tiznit,MA,29.5833,-9.5,95.79,21,100,10.42,overcast clouds
150,Castro,BR,-24.7911,-50.0119,71.19,66,0,3.31,clear sky
151,Troitsko-Pechorsk,RU,62.7084,56.1964,68.43,66,100,8.55,overcast clouds
152,Verkhoyansk,RU,67.5447,133.385,45.64,82,100,5.55,overcast clouds
153,High Level,CA,58.5169,-117.136,68.11,49,75,13.8,broken clouds
154,Quatre Cocos,MU,-20.2078,57.7625,70.09,70,24,24.72,light rain
155,Vrangel,RU,42.7297,133.0839,63.81,92,10,2.17,clear sky
156,Gat,IL,31.61,34.7642,84.4,100,0,6.22,clear sky
157,Palmer,US,42.1584,-72.3287,89.92,49,33,1.99,scattered clouds
158,Nyrob,RU,60.733,56.7202,64.24,97,100,8.86,light rain
159,Yellowknife,CA,62.456,-114.3525,75.72,50,75,9.22,broken clouds
160,Karratha,AU,-20.7377,116.8463,66.79,63,0,6.64,clear sky
161,Polovinnoye,RU,54.7914,65.9864,65.89,91,100,7.31,moderate rain
162,Hanahan,US,32.9185,-80.022,93.94,69,40,11.5,thunderstorm
163,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,0,11.5,clear sky
164,Port Hedland,AU,-20.3167,118.5667,59.05,94,5,6.91,clear sky
165,Lebu,CL,-37.6167,-73.65,51.69,61,0,3.31,clear sky
166,Longyearbyen,SJ,78.2186,15.6401,51.64,82,40,2.3,scattered clouds
167,Nishihara,JP,26.1842,127.7558,83.68,89,95,12.66,overcast clouds
168,Aras,ES,42.5617,-2.356,84.61,30,0,9.22,clear sky
169,Abu Dhabi,AE,24.4667,54.3667,98.71,65,0,6.91,clear sky
170,Ancud,CL,-41.8697,-73.8203,53.22,95,100,29.33,moderate rain
171,Ostrovnoy,RU,68.0531,39.5131,51.06,89,100,11.9,overcast clouds
172,Grand Gaube,MU,-20.0064,57.6608,70.38,68,41,18.01,scattered clouds
173,Altamira,BR,-3.2033,-52.2064,84.13,69,100,2.33,overcast clouds
174,Andra,RU,62.5147,65.8878,64.69,61,79,5.48,broken clouds
175,Souillac,MU,-20.5167,57.5167,70.18,73,75,21.85,light rain
176,Kasaragod,IN,12.5,75.0,77.36,88,36,3.85,scattered clouds
177,Katsuura,JP,35.1333,140.3,78.55,89,44,14.61,scattered clouds
178,Lasa,IT,46.6166,10.7002,71.11,87,25,3.33,scattered clouds
179,Ambon,ID,-3.6954,128.1814,76.23,16,40,3.44,scattered clouds
180,Boyuibe,BO,-20.4167,-63.2833,72.46,46,45,5.93,scattered clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,11.5,overcast clouds
182,Preeceville,CA,51.95,-102.6677,74.46,58,100,8.63,overcast clouds
183,Mehamn,NO,71.0357,27.8492,55.35,94,75,0.0,broken clouds
184,Wamba,NG,8.9333,8.6,71.58,91,25,2.86,moderate rain
185,Salo,IT,45.6086,10.531,89.69,47,2,4.59,clear sky
186,Salamiyah,SY,35.0113,37.0532,81.07,43,0,11.36,clear sky
187,Xai-Xai,MZ,-25.0519,33.6442,68.29,89,5,8.66,light rain
188,Aromashevo,RU,56.8602,68.6375,63.86,72,100,5.68,overcast clouds
189,Calama,CL,-22.4667,-68.9333,79.29,10,0,9.22,clear sky
190,Berdigestyakh,RU,62.0989,126.6992,63.88,98,100,1.21,overcast clouds
191,Asfi,MA,32.2994,-9.2372,76.55,62,0,21.88,clear sky
192,Victoria,HK,22.2855,114.1577,87.33,80,100,5.99,overcast clouds
193,Coahuayana,MX,18.7333,-103.6833,92.53,53,100,6.55,overcast clouds
194,Bathsheba,BB,13.2167,-59.5167,84.81,87,40,9.22,scattered clouds
195,Luzino,RU,54.9481,73.0353,62.37,63,0,0.0,clear sky
196,Husavik,IS,66.0449,-17.3389,50.16,88,100,7.36,light rain
197,Amapa,BR,1.0,-52.0,85.23,59,12,5.23,few clouds
198,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.11,26,27,4.29,scattered clouds
199,Katangli,RU,51.7102,143.2326,50.92,98,100,8.63,overcast clouds
200,Gushikawa,JP,26.3544,127.8686,83.62,83,100,13.82,overcast clouds
201,San Patricio,US,28.017,-97.5169,98.19,39,0,17.16,clear sky
202,Kavieng,PG,-2.5744,150.7967,81.21,76,100,8.63,light rain
203,Marsabit,KE,2.3284,37.9899,65.97,54,58,20.27,broken clouds
204,Cruzeiro Do Sul,BR,-29.5128,-51.9853,57.52,90,78,6.4,broken clouds
205,Faanui,PF,-16.4833,-151.75,77.14,71,8,8.5,clear sky
206,Ongandjera,NA,-17.8833,15.0667,64.74,28,1,8.88,clear sky
207,Saskylakh,RU,71.9167,114.0833,37.36,76,98,12.39,overcast clouds
208,Tautira,PF,-17.7333,-149.15,76.15,70,43,5.61,scattered clouds
209,Hualmay,PE,-11.0964,-77.6139,66.65,72,85,9.24,overcast clouds
