City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
284,Hoquiam,US,79.36,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
287,Mogadishu,SO,75.52,overcast clouds,2.0371,45.3438,Hotel Juba
296,Tadine,NC,73.9,scattered clouds,-21.55,167.8833,
297,Bashtanka,UA,67.26,scattered clouds,47.4072,32.4387,Свято Успенський храм ПЦУ
304,Sri Aman,MY,74.01,clear sky,1.2376,111.4621,Seri Simanggang Hotel
307,Natal,BR,78.49,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
311,Torbay,CA,71.76,overcast clouds,47.6666,-52.7314,Gallows Cove
312,Conakry,GN,78.53,light rain,9.538,-13.6773,Riviera Royal Hotel
315,Wencheng,CN,68.05,overcast clouds,33.0559,113.7978,Ruyi Hostel
320,Bhanpuri,IN,75.45,overcast clouds,21.1,80.9167,OM FARMHOUSE
324,Roebourne,AU,66.85,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
328,Yaan,NG,75.78,broken clouds,7.3833,8.5667,
329,Kirakira,SB,77.95,clear sky,-10.4544,161.9205,SanBiz Lodge
330,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
331,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
333,Shenjiamen,CN,77.52,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
340,Porto Novo,BJ,75.11,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
344,Ofunato,JP,72.36,light rain,39.0717,141.7167,Ofunato Hot Spring
346,Iskateley,RU,65.88,scattered clouds,67.6803,53.1512,Hostel Agat
350,Grand Forks,US,77.79,few clouds,47.9417,-97.4337,Warrior Inn
351,Muros,ES,68.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
356,Pisco,PE,65.01,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
357,Leh,IN,68.81,clear sky,34.1667,77.5833,Hotel Ladakh Greens
359,Nikko,JP,69.75,overcast clouds,36.75,139.6167,Nikko Senhime Monogatari
366,Gimli,CA,73.65,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
371,Kuandian,CN,66.69,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
372,Anjiang,CN,76.6,overcast clouds,27.3194,110.1031,Dahua Hotel
375,Nhulunbuy,AU,70.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
378,Tacna,PE,69.46,scattered clouds,-18.0056,-70.2483,Hotel Colón Inn
380,Oropesa,PE,66.06,overcast clouds,-13.5928,-71.7719,Posada Che Jamaica
382,Benghazi,LY,78.42,clear sky,32.1167,20.0667,Tibesti Hotel
383,Nabire,ID,73.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
384,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
386,Talara,PE,66.51,few clouds,-4.5772,-81.2719,Hostal Oro Negro
387,Mbandaka,CD,69.35,moderate rain,0.0487,18.2603,Guest House Epervier
388,Ambilobe,MG,71.1,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
391,Grand-Lahou,CI,74.73,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
393,Surab,PK,73.9,overcast clouds,28.4914,66.2585,Bismillah Hotel
394,Itarantim,BR,77.59,scattered clouds,-15.6597,-40.0656,Pousada Buterfly
395,Botro,CI,73.62,overcast clouds,7.8525,-5.3106,Motel de la Station BOTRO
396,Ojuelos De Jalisco,MX,78.28,few clouds,21.8667,-101.5833,Hotel La Paz
397,La Celia,CO,72.99,overcast clouds,5.0433,-76.0167,Finca La Estrella
398,Lata,PT,70.27,clear sky,40.1629,-8.3327,Casa Maquia
399,Huangmei,CN,78.22,overcast clouds,30.1924,116.025,Tianxiachan Hotel
402,Bengkulu,ID,76.6,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
406,Reconquista,AR,66.88,clear sky,-29.15,-59.65,Grand Hotel
407,Pitimbu,BR,78.03,clear sky,-7.4706,-34.8086,Reserva do Abiaí
409,Lima,PE,70.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
410,Sept-Iles,CA,66.06,overcast clouds,50.2001,-66.3821,Comfort Inn
413,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
416,Malakal,SS,70.7,light rain,9.5334,31.6605,Nile Palace Hotel
419,Krasnyy Kut,RU,67.41,broken clouds,50.95,46.9667,Yubileynaya
427,Pangkalanbuun,ID,73.94,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
435,Innisfail,AU,65.23,overcast clouds,-17.5333,146.0333,Moondarra Motel
440,Muroto,JP,78.31,overcast clouds,33.2833,134.15,Oota Ryokan
444,Boyolangu,ID,71.76,broken clouds,-8.1181,111.8935,Yos ega cv
448,Dongsheng,CN,65.37,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
450,Tual,ID,79.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
451,Vanimo,PG,75.97,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
455,Owando,CG,72.91,light rain,-0.4819,15.8999,Exaunel Hotel Owando
457,Salmas,IR,78.24,clear sky,38.1973,44.7653,Ata Hotel
458,San Roque,ES,79.63,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
460,Robertsport,LR,77.85,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
464,Beloha,MG,67.24,clear sky,-25.1667,45.05,
466,Saint-Pierre,RE,67.68,few clouds,-21.3393,55.4781,Alize Plage
469,Odweyne,SO,76.1,overcast clouds,9.4092,45.064,Eng Hiirey House
471,Seoul,KR,76.39,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
474,Baie-Saint-Paul,CA,79.99,few clouds,47.4411,-70.4986,Hôtel Baie-Saint-Paul
482,Vao,NC,73.45,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
484,Fare,PF,77.43,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
487,Kerema,PG,75.83,overcast clouds,-7.9631,145.7785,Frena Lodge
490,Simao,CN,66.24,moderate rain,22.7886,100.9748,Changyu Hotel
494,Malumfashi,NG,76.44,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
497,Olden,NO,72.1,overcast clouds,61.8364,6.8064,Nesset Fjordcamping Olden
501,Pacific Grove,US,76.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
503,Nanaimo,CA,74.21,scattered clouds,49.1663,-123.936,Days Inn by Wyndham Nanaimo
507,Harper,LR,74.44,overcast clouds,4.375,-7.7169,Screensaver
512,Luganville,VU,77.18,broken clouds,-15.5333,167.1667,The Espiritu Hotel
513,Wuwei,CN,67.42,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
514,Takoradi,GH,74.21,overcast clouds,4.8845,-1.7554,Raybow International Hotel
516,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
517,Nove Mesto Na Morave,CZ,73.35,clear sky,49.5614,16.0742,Hotel Horní Dvůr
518,Derbent,RU,78.42,clear sky,42.0678,48.2899,Elit
519,Garoua,CM,76.89,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
520,Taltal,CL,65.46,few clouds,-25.4,-70.4833,Residencial Karime
526,Akkermanovka,RU,71.1,few clouds,51.2467,58.2391,
527,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
530,Phalaborwa,ZA,68.61,broken clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
533,Donskoye,RU,65.25,broken clouds,45.4552,41.9741,
535,Luba,GQ,76.86,broken clouds,3.4568,8.5547,
540,Krasnovka,RU,65.57,broken clouds,48.8177,40.0923,
541,Bunga,PH,78.66,few clouds,11.4838,124.5918,Bunga Prime Resort
543,Maceio,BR,76.5,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
544,Novobataysk,RU,74.8,clear sky,46.8981,39.7819,Zagorodnyi dom
545,Zanjan,IR,72.36,clear sky,36.6736,48.4787,Qasr Hotel
546,Kuldiga,LV,65.89,few clouds,56.974,21.9572,Kuldigas Metropole
547,Oyama,JP,75.09,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
548,Toamasina,MG,67.96,light rain,-18.1667,49.3833,Hotel H1
551,Unity,CA,78.26,clear sky,52.4501,-109.1682,Greenhead Motel & RV Park
556,Plock,PL,71.71,scattered clouds,52.5468,19.7064,HERMAN
559,Georgiyevka,KZ,77.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
563,Carman,CA,72.9,overcast clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
564,Mae Sai,TH,74.86,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
569,Sao Jose Da Coroa Grande,BR,77.68,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
572,Semypolky,UA,66.94,clear sky,50.7167,30.9333,"Мотель ""Экспресс"""
577,Neiafu,TO,77.99,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
578,Sorong,ID,77.14,light rain,-0.8833,131.25,Waigo Splash Hotel
579,Lorengau,PG,77.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
580,Mbumi,TZ,71.29,clear sky,-7.9058,39.2105,
590,San-Pedro,CI,74.23,overcast clouds,4.7485,-6.6363,Hotel Maria
593,Barrhead,GB,76.01,scattered clouds,55.7992,-4.3929,The Gleniffer
595,Sechura,PE,74.26,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
596,Kupang,ID,71.46,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
